agar malwa/Q15732396
agra/Q606343
ahmedabad/Q401686
ahmednagar/Q401744
aizwal/Q1947322
ajmer/Q413037
akola/Q520510
alappuzha/Q928959
aligarh/Q766918
alipurduar/Q4726845
alirajpur/Q2667586
almora/Q1805066
alwar/Q449690
ambala/Q2086226
ambedkar nagar/Q456764
amethi/Q1071494
amravati/Q1771774
amreli/Q257946
amritsar/Q202822
amroha/Q1891677
anand/Q485683
anantapur/Q15212
anantnag/Q2982349
angul/Q1772807
anjaw/Q15413
anuppur/Q2299093
araria/Q42901
aravalli/Q12175285
ariyalur/Q15112
arwal/Q42917
ashoknagar/Q2246416
assam/Q12345
auraiya/Q1812533
aurangabad/Q43086
aurangabad/Q592942
ayodhya/Q1814132
azamgarh/Q793553
bagalkote/Q1910231
bageshwar/Q1815313
baghpat/Q1797363
bahraich/Q1812548
balaghat/Q641904
balangir/Q804642
balasore/Q2022279
ballari/Q1791926
ballia/Q584644
balod/Q16056266
baloda bazar/Q15663455
balrampur/Q16056268
balrampur/Q1948380
bametara/Q16254159
banaskantha/Q806125
banda/Q2131759
bandipora/Q2983553
banka/Q43097
bankura/Q2088458
banswara/Q806969
barabanki/Q633114
baramula/Q1912057
baran/Q2329717
bareilly/Q1797378
bargarh/Q808140
barmer/Q42016
barnala/Q2353293
barwani/Q2126754
bastar/Q100152
basti/Q715267
bathinda/Q172488
beed/Q814037
begusarai/Q49157
belagavi/Q815464
bengaluru rural/Q806464
bengaluru urban/Q806463
betul/Q1815279
bhadohi/Q127533
bhadrak/Q685638
bhagalpur/Q49155
bhandara/Q1813857
bharatpur/Q854861
bharuch/Q854900
bhavnagar/Q854963
bhilwara/Q41991
bhind/Q2341700
bhiwani/Q1852857
bhojpur/Q49153
bhopal/Q1797245
bidar/Q1790568
bijnor/Q1937865
bikaner/Q778996
bilaspur/Q100157
bilaspur/Q1478939
birbhum/Q2088440
bokaro/Q2295925
botad/Q14505072
boudh/Q2363639
budaun/Q1815262
budgam/Q2594218
bulandshahr/Q1752328
buldhana/Q47929
bundi/Q670405
burhanpur/Q2125592
buxar/Q49161
chamarajanagara/Q862912
chamba/Q1060614
chamoli/Q1797372
champawat/Q288278
champhai/Q1965256
chandauli/Q2733369
chandigarh/Q5071071
chandrapur/Q1797274
changlang/Q15427
charkhi dadri/Q28172110
chatra/Q1979499
chennai/Q15116
chhatarpur/Q2449785
chhindwara/Q1986096
chhota udaipur/Q5979243
chikkaballapura/Q1072629
chikkamagaluru/Q743077
chitradurga/Q165264
chitrakoot/Q2089141
chittoor/Q15213
chittorgarh/Q1075011
churu/Q1090006
coimbatore/Q15136
cooch behar/Q2728658
cuddalore/Q15150
cuttack/Q2022256
dadra and nagar haveli/Q46107
dahod/Q186518
dakshin bastar dantewada/Q100211
dakshin dinajpur/Q533839
dakshina kannada/Q950571
daman/Q1158197
damoh/Q2479331
dang/Q1135616
darbhanga/Q49160
darjeeling/Q1134759
datia/Q2206266
dausa/Q1173042
davanagere/Q1863214
dehradun/Q1815740
delhi/Q9872803
deogarh/Q2269639
deoghar/Q2030017
deoria/Q731746
devbhumi dwaraka/Q14594717
dewas/Q2025998
dhalai/Q2086546
dhamtari/Q100190
dhanbad/Q2240791
dhar/Q2299069
dharmapuri/Q15152
dharwad/Q1790904
dhenkanal/Q1948389
dholpur/Q1207709
dhule/Q1797383
dimapur/Q634262
dindigul/Q15154
dindori/Q2398551
diu/Q631849
doda/Q2298979
dumka/Q2577657
dungarpur/Q1265687
durg/Q100182
east champaran/Q49159
east garo hills/Q2085455
east godavari/Q15338
east jaintia hills/Q15923776
east kameng/Q15424
east khasi hills/Q1945304
east siang/Q15419
east singhbhum/Q2452921
ernakulam/Q1356097
erode/Q15155
etah/Q1773429
etawah/Q1815288
faridabad/Q2086173
faridkot/Q172494
farrukhabad/Q1897251
fatehabad/Q2301753
fatehgarh sahib/Q172485
fatehpur/Q1946829
fazilka/Q188702
ferozepur/Q172385
firozabad/Q1946950
gadag/Q2353931
gadchiroli/Q1804847
gajapati/Q1947292
ganderbal/Q2556028
gandhinagar/Q1772860
ganganagar/Q1419696
ganjam/Q776213
garhwa/Q2302076
gariaband/Q16961365
gautam buddha nagar/Q1785950
gaya/Q49173
ghaziabad/Q1773444
ghazipur/Q1287993
gir somnath/Q15244465
giridih/Q2302065
goa/Q108234
godda/Q638980
gomati/Q16086497
gonda/Q1937857
gondia/Q1917227
gopalganj/Q49171
gorakhpur/Q1144349
gumla/Q2295865
guna/Q930027
guntur/Q15341
gurdaspur/Q146708
gurugram/Q1815766
gwalior/Q2085310
hamirpur/Q2019757
hamirpur/Q2086180
hanumangarh/Q1356112
hapur/Q5653340
harda/Q2173003
hardoi/Q1772822
haridwar/Q2270438
hassan/Q956732
hathras/Q1814892
haveri/Q765481
hazaribagh/Q1945416
hingoli/Q2087615
hisar/Q1815773
hooghly/Q548518
hoshangabad/Q620801
hoshiarpur/Q304800
howrah/Q1478937
idukki/Q301821
indore/Q742938
jabalpur/Q632093
jagatsinghapur/Q971581
jaipur/Q1134781
jaisalmer/Q1419708
jajpur/Q2087771
jalandhar/Q1817425
jalaun/Q2089115
jalgaon/Q1797291
jalna/Q1804863
jalore/Q1460832
jalpaiguri/Q1351487
jammu/Q1947371
jamnagar/Q2982118
jamtara/Q2980986
jamui/Q49168
janjgir champa/Q2575633
jashpur/Q2577551
jaunpur/Q1356060
jehanabad/Q49176
jhabua/Q2085336
jhajjar/Q1948260
jhalawar/Q1471417
jhansi/Q1937885
jhargram/Q29168456
jharsuguda/Q569181
jhunjhunu/Q1471427
jind/Q268605
jodhpur/Q1434965
junagadh/Q1797344
kabeerdham/Q2450255
kaimur/Q77367
kaithal/Q614037
kalaburagi/Q2641873
kalahandi/Q1876588
kalimpong/Q28769140
kallakurichi/Q60493360
kamle/Q48731073
kancheepuram/Q15157
kandhamal/Q2085500
kangra/Q727232
kannauj/Q627979
kannur/Q2980652
kanpur dehat/Q610612
kanpur nagar/Q2089152
kanyakumari/Q15158
kapurthala/Q172363
karaikal/Q639264
karauli/Q1419668
kargil/Q1650798
karnal/Q607915
karur/Q15182
kasaragod/Q1419703
kasganj/Q890800
kathua/Q2375700
katihar/Q77568
katni/Q746441
kaushambi/Q1946937
kendrapara/Q2299172
kendujhar/Q2085428
khagaria/Q49175
khandwa/Q2085436
khargone/Q2273900
kheda/Q1755463
khordha/Q662818
khowai/Q16086680
khunti/Q367344
kinnaur/Q1862950
kiphire/Q2597908
kishanganj/Q77375
kishtwar/Q2321899
kodagu/Q1553185
koderma/Q2085480
kohima/Q953530
kolar/Q2509866
kolasib/Q1947343
kolhapur/Q1797312
kolkata/Q1348
kollam/Q1356124
kondagaon/Q12420995
koppal/Q956387
koraput/Q1947300
korba/Q2299121
koriya/Q2295896
kota/Q999432
kottayam/Q1353354
kozhikode/Q1142979
kra daadi/Q21018627
krishna/Q15382
krishnagiri/Q15183
kulgam/Q2321867
kullu/Q2980880
kupwara/Q2297306
kurnool/Q15381
kurukshetra/Q980118
kurung kumey/Q2449506
kushinagar/Q825673
kutch/Q1063417
lahaul and spiti/Q837595
lakhimpur kheri/Q1755447
