374,803
103,291
489,686
401,572
455,539
518,682
298,627
226,587
494,530
268,753
547,691
802,803
364,471
393,750
397,665
639,771
505,584
198,591
492,739
110,669
225,345
172,448
464,649
319,435
161,687
169,529
206,430
146,259
203,389
309,395
311,443
519,701
115,468
244,590
565,762
513,538
272,350
328,651
456,630
309,577
398,633
271,318
242,442
272,493
474,691
411,757
303,451
298,410
374,417
632,678
107,183
325,697
316,726
318,444
301,412
348,620
166,261
244,557
505,754
126,194
722,723
557,658
139,536
528,697
123,617
188,592
512,562
493,765
294,301
554,628
229,445
232,794
418,659
185,498
211,472
641,649
406,510
685,779
253,659
259,309
158,292
277,500
436,704
453,558
185,653
145,674
210,639
373,614
363,592
380,623
161,774
385,544
504,713
251,340
289,665
107,638
549,645
475,697
316,808
249,379
176,736
585,772
581,811
231,614
202,687
519,670
280,813
262,397
724,808
337,602
357,769
429,809
640,759
159,618
513,639
283,748
247,727
470,595
418,589
244,658
405,679
284,344
696,776
550,765
110,421
664,700
192,337
397,797
239,453
292,737
117,627
336,433
112,226
114,250
520,670
301,360
429,744
650,676
151,298
208,607
162,577
173,628
286,486
492,660
347,622
296,662
248,773
500,587
712,798
216,750
253,695
520,645
405,568
141,248
315,368
288,350
147,533
283,469
374,603
143,577
210,754
103,264
307,734
218,821
259,278
611,822
152,305
616,640
231,676
383,418
153,227
645,818
585,638
584,754
430,431
197,352
327,406
194,457
175,345
141,548
108,204
218,451
220,483
183,233
276,317
478,490
415,479
109,288
159,735
400,487
132,361
116,664
599,662
341,642
436,682
255,470
454,628
265,473
602,655
584,761
216,393
478,663
463,639
196,535
194,371
293,722
727,815
211,598
378,458
157,376
330,447
206,362
120,412
253,789
293,586
112,261
134,362
465,510
339,421
155,534
468,599
361,379
768,794
110,339
165,401
313,793
337,536
641,775
399,750
554,796
424,676
103,300
177,426
453,792
510,715
245,555
226,553
116,323
156,348
674,714
471,597
453,751
457,740
114,498
384,607
264,528
389,669
174,278
142,511
377,653
346,656
183,205
295,407
546,774
106,490
453,583
399,405
467,822
283,581
656,686
123,735
307,404
783,784
292,320
646,777
406,472
632,658
210,463
277,613
297,383
685,702
103,290
570,571
165,229
302,454
415,440
336,781
225,545
298,425
299,301
126,533
437,695
347,569
232,733
322,674
276,368
392,418
626,644
273,511
206,431
522,673
209,279
502,700
193,544
546,602
215,793
297,514
354,511
480,814
141,401
345,557
364,708
381,738
422,667
137,172
263,788
128,500
648,800
188,579
464,641
173,454
180,264
181,556
246,537
209,723
180,578
452,786
236,761
573,705
108,118
240,587
334,389
135,737
248,401
444,605
394,716
587,790
589,689
182,201
171,600
668,717
335,430
619,716
193,385
106,447
144,518
162,381
290,339
169,514
113,602
263,302
107,357
694,699
348,540
220,713
576,807
318,817
155,369
138,212
138,609
396,727
358,385
201,636
271,444
169,523
132,409
336,687
544,585
356,564
506,787
122,230
612,627
114,578
188,477
246,666
303,321
303,555
471,527
215,522
242,420
118,804
231,650
151,676
371,456
378,512
544,703
302,340
484,770
228,242
155,178
139,521
695,789
176,530
163,364
460,505
318,541
671,716
122,232
233,638
659,707
519,520
556,790
246,660
139,689
583,751
412,747
200,267
203,310
495,801
428,491
359,427
640,712
205,769
210,665
379,697
196,580
184,291
498,703
300,503
162,496
270,284
143,717
224,244
707,820
432,790
309,496
147,631
296,656
494,802
704,738
210,513
559,753
265,269
291,407
148,372
283,811
746,753
160,697
310,334
558,559
207,391
407,410
304,307
267,441
380,518
270,605
234,393
185,382
367,610
406,598
373,737
195,510
287,396
477,579
318,504
417,803
734,800
219,763
118,206
375,547
303,509
692,710
130,654
464,698
749,789
164,523
255,714
184,329
398,566
157,500
189,398
524,823
799,800
191,671
657,708
144,427
622,721
164,489
307,434
475,565
232,756
104,201
125,717
221,377
331,409
135,323
161,608
437,472
755,798
186,600
278,631
433,608
752,765
141,773
549,818
397,768
142,637
452,555
474,600
187,795
261,646
449,721
107,769
200,445
369,474
541,720
156,626
506,661
453,619
475,658
412,686
401,813
449,569
345,632
474,547
757,766
296,489
101,821
253,602
189,552
522,650
134,363
246,492
372,738
708,772
273,533
701,803
529,709
573,788
707,715
488,627
414,677
681,728
115,820
152,415
377,651
266,427
254,276
311,375
616,765
270,745
364,585
308,718
398,701
400,461
392,599
283,591
111,445
253,337
180,250
491,625
110,202
222,341
442,538
294,523
299,732
174,390
124,482
145,313
183,769
572,813
493,798
220,525
116,292
145,714
480,785
541,812
552,592
348,569
256,610
613,772
297,672
211,422
173,467
458,677
202,421
491,660
221,653
257,777
679,778
352,393
281,809
136,159
392,468
395,577
