timeid,method,spot,districtid1,districtid2,districtid3,districtid4,districtid5
1,neighborhood,cold,692,646,691,381,456
1,neighborhood,hot,173,132,186,658,244
1,state,cold,422,432,262,709,712
1,state,hot,448,536,215,173,334
