districtid,timeid,neighborhoodzscore,statezscore
132,6,84.09,0
132,7,76.83,0
133,1,0,0
133,2,-0.78,-0.35
133,3,-1.49,-0.77
133,4,-0.88,-0.47
133,5,-0.52,-0.55
133,6,-0.68,-0.44
133,7,0.87,-0.25
134,1,0,0
134,2,-0.1,0.31
134,3,-0.06,-0.39
134,4,1.27,-0.1
134,5,-0.49,-0.3
134,6,0.05,-0.25
134,7,1.3,-0.05
135,1,0,0
135,2,2.24,0.04
135,3,2.54,-0.05
135,4,1.66,0.09
135,5,0.95,0.11
135,6,-0.38,-0.09
135,7,-0.6,-0.32
136,1,0,0
136,2,-0.41,-0.35
136,3,0.04,0.4
136,4,0.69,-0.16
136,5,1.86,0.09
136,6,1.01,0.08
136,7,2.23,0.27
137,1,0,0
137,2,-0.62,-0.35
137,3,-0.08,0.08
137,4,-0.32,-0.21
137,5,-0.16,-0.09
137,6,-0.02,0.1
137,7,-0.27,-0.23
138,1,0,0
138,2,0.16,0.69
138,3,-0.44,-0.45
138,4,-1.02,-0.38
138,5,-0.46,-0.24
138,6,-0.4,-0.21
138,7,-0.81,-0.32
139,1,0,0
139,2,0,-0.41
139,3,-0.61,-0.65
139,4,-0.15,-0.65
139,5,-0.98,-0.73
139,6,-1.15,-0.71
139,7,-1.02,-0.9
140,1,-0.38,0
140,2,-0.38,-0.35
140,3,-0.4,-0.67
140,4,-0.39,0.05
140,5,-0.43,-0.45
140,6,-0.49,-0.65
140,7,-0.48,-0.61
141,1,0,0
141,2,-0.44,-0.35
141,3,0.26,-0.05
141,4,-0.83,-0.61
141,5,-0.54,-0.43
141,6,-0.02,-0.15
141,7,-0.69,-0.38
142,1,0,0
142,2,-0.39,-0.23
142,3,-0.5,-0.32
142,4,-0.53,-0.34
142,5,-0.42,-0.39
142,6,-0.44,-0.45
142,7,-0.49,-0.38
143,1,0,0
143,2,0,-0.36
143,3,5.4,0.23
143,4,0.61,-0.34
143,5,0.54,-0.35
143,6,0.69,-0.39
143,7,-0.73,-0.57
144,1,0,0
144,2,7.71,2.33
144,3,2.53,0.86
144,4,0.25,0.11
144,5,0.11,-0.13
144,6,0.19,0.12
144,7,-0.37,-0.13
145,1,0,0
145,2,-0.39,-0.48
145,3,-0.7,-0.62
145,4,0.67,0.49
145,5,0.2,0.22
145,6,0.42,0.58
145,7,0.42,0.18
146,1,0,0
146,2,-0.65,-0.35
146,3,-0.82,-0.38
146,4,-1.01,-0.46
146,5,1.83,0.74
146,6,0.56,0.14
146,7,0.28,-0.27
147,1,0,0
147,2,0,-0.19
147,3,0.72,0.56
147,4,-0.82,-0.74
147,5,-1.06,-0.38
147,6,-0.84,-0.33
147,7,-0.67,-0.2
148,1,0,0
148,2,0,-0.19
148,3,-0.33,0.17
148,4,0.94,1.48
148,5,-0.39,-0.19
148,6,-0.45,-0.23
148,7,-0.48,-0.24
149,1,0,0
149,2,-0.36,-0.19
149,3,-0.21,-0.05
149,4,1.15,0.29
149,5,-0.82,-0.34
149,6,-1.51,-0.45
149,7,-0.75,-0.44
150,1,0,0
150,2,-0.57,-0.35
150,3,-0.61,-0.52
150,4,-0.96,-0.61
150,5,-0.82,-0.62
150,6,-0.81,-0.48
150,7,-0.34,-0.48
151,1,0,0
151,2,0,-0.19
151,3,-0.51,-0.11
151,4,-1.38,-0.54
151,5,-0.57,-0.29
151,6,-0.61,-0.36
151,7,-0.67,-0.4
152,1,0,0
152,2,-0.41,-0.23
152,3,-0.64,-0.19
152,4,-0.93,-0.26
152,5,0.4,-0.2
152,6,-0.31,-0.4
152,7,0.8,-0.3
153,1,0,0
153,2,0,-0.27
153,3,-0.03,-0.72
153,4,-1.14,-0.68
153,5,0.71,-0.54
153,6,0.91,-0.53
153,7,1.44,-0.44
154,1,0,0
154,2,-0.33,-0.18
154,3,-1.08,-0.83
154,4,-1.12,-0.52
154,5,-0.49,-0.26
154,6,-0.1,0.53
154,7,-0.45,-0.2
155,1,0,0
155,2,-0.32,-0.42
155,3,0.95,0.36
155,4,0.15,-0.43
155,5,-0.39,-0.55
155,6,-0.18,-0.62
155,7,-0.12,-0.53
156,1,0,0
156,2,0,0
156,3,-0.4,-0.42
156,4,-0.02,-0.4
156,5,-0.35,-0.45
156,6,-0.35,-0.46
156,7,0.24,-0.2
157,1,0,0
157,2,6.36,-0.26
157,3,-0.52,-0.64
157,4,-0.59,-0.71
157,5,-0.93,-0.66
157,6,-0.74,-0.61
157,7,0.94,-0.29
158,1,0,0
158,2,-0.45,-0.35
158,3,1.05,0.94
158,4,-0.03,-0.12
158,5,-0.24,-0.02
158,6,-0.22,0.21
158,7,-0.23,0.19
159,1,0,0
159,2,8.48,1.98
159,3,0.38,0.64
159,4,1.48,1.79
159,5,-0.05,0.53
159,6,-0.45,0.05
159,7,-0.5,-0.2
160,1,0,0
160,2,-0.52,-0.36
160,3,-0.66,-0.66
160,4,-0.13,-0.54
160,5,-0.68,-0.7
160,6,-0.51,-0.57
160,7,-0.27,-0.06
161,1,0,0
161,2,0.0,-0.19
161,3,-0.26,-0.38
161,4,1.36,-0.06
161,5,5.28,1.22
161,6,3.91,0.88
161,7,1.67,0.54
162,1,0,0
162,2,-0.37,-0.36
162,3,-0.58,-0.63
162,4,0.55,-0.4
162,5,1.5,-0.3
162,6,0.86,-0.27
162,7,2.68,0.34
163,1,0,0
163,2,-0.49,-0.4
163,3,-0.61,-0.35
163,4,-0.36,-0.07
163,5,-0.22,0.3
163,6,-0.33,-0.23
163,7,-0.45,-0.41
164,1,0,0
164,2,-0.52,-0.64
164,3,-1.25,-0.88
164,4,-0.69,-0.62
164,5,-0.56,-0.54
